"","conference","link"
"70","Atlantic_10_F","https://tf.tfrrs.org/teams/tf/MO_college_f_St_Louis_U.html"
"71","Atlantic_10_F","https://tf.tfrrs.org/teams/tf/VA_college_f_Richmond.html"
"72","Atlantic_10_F","https://tf.tfrrs.org/teams/tf/DC_college_f_George_Washington.html"
"73","Atlantic_10_F","https://tf.tfrrs.org/teams/tf/NC_college_f_Davidson.html"
"74","Atlantic_10_F","https://tf.tfrrs.org/teams/tf/PA_college_f_La_Salle.html"
"75","Atlantic_10_F","https://tf.tfrrs.org/teams/tf/PA_college_f_Duquesne.html"
"76","Atlantic_10_F","https://tf.tfrrs.org/teams/tf/MA_college_f_UMass_Amherst.html"
"77","Atlantic_10_F","https://tf.tfrrs.org/teams/tf/RI_college_f_Rhode_Island.html"
"78","Atlantic_10_F","https://tf.tfrrs.org/teams/tf/IL_college_f_Loyola_IL.html"
"79","Atlantic_10_F","https://tf.tfrrs.org/teams/tf/NY_college_f_St_Bonaventure.html"
"80","Atlantic_10_M","https://tf.tfrrs.org/teams/tf/RI_college_m_Rhode_Island.html"
"81","Atlantic_10_M","https://tf.tfrrs.org/teams/tf/MA_college_m_UMass_Amherst.html"
"82","Atlantic_10_M","https://tf.tfrrs.org/teams/tf/VA_college_m_George_Mason.html"
"83","Atlantic_10_M","https://tf.tfrrs.org/teams/tf/MO_college_m_St_Louis_U.html"
"84","Atlantic_10_M","https://tf.tfrrs.org/teams/tf/NC_college_m_Davidson.html"
"85","Atlantic_10_M","https://tf.tfrrs.org/teams/tf/VA_college_m_VCU.html"
"86","Atlantic_10_M","https://tf.tfrrs.org/teams/tf/PA_college_m_St_Josephs_PA.html"
"87","Atlantic_10_M","https://tf.tfrrs.org/teams/tf/PA_college_m_Duquesne.html"
"88","Atlantic_10_M","https://tf.tfrrs.org/teams/tf/NY_college_m_Fordham.html"
"89","Atlantic_10_M","https://tf.tfrrs.org/teams/tf/PA_college_m_La_Salle.html"
"90","Atlantic_10_M","https://tf.tfrrs.org/teams/tf/IL_college_m_Loyola_IL.html"
"91","Atlantic_10_M","https://tf.tfrrs.org/teams/tf/VA_college_m_Richmond.html"
"92","Atlantic_10_M","https://tf.tfrrs.org/teams/tf/DC_college_m_George_Washington.html"
"93","Atlantic_10_M","https://tf.tfrrs.org/teams/tf/NY_college_m_St_Bonaventure.html"
"94","BIG_EAST_F","https://tf.tfrrs.org/teams/tf/IL_college_f_DePaul.html"
"95","BIG_EAST_F","https://tf.tfrrs.org/teams/tf/PA_college_f_Villanova.html"
"96","BIG_EAST_F","https://tf.tfrrs.org/teams/tf/CT_college_f_Connecticut.html"
"97","BIG_EAST_F","https://tf.tfrrs.org/teams/tf/DC_college_f_Georgetown_DC.html"
"98","BIG_EAST_F","https://tf.tfrrs.org/teams/tf/NY_college_f_St_Johns_NY.html"
"99","BIG_EAST_F","https://tf.tfrrs.org/teams/tf/IN_college_f_Butler.html"
"100","BIG_EAST_F","https://tf.tfrrs.org/teams/tf/OH_college_f_Xavier.html"
"101","BIG_EAST_F","https://tf.tfrrs.org/teams/tf/WI_college_f_Marquette.html"
"102","BIG_EAST_F","https://tf.tfrrs.org/teams/tf/RI_college_f_Providence.html"
"103","BIG_EAST_F","https://tf.tfrrs.org/teams/tf/NE_college_f_Creighton.html"
"104","BIG_EAST_F","https://tf.tfrrs.org/teams/tf/NJ_college_f_Seton_Hall.html"
"105","BIG_EAST_M","https://tf.tfrrs.org/teams/tf/DC_college_m_Georgetown_DC.html"
"106","BIG_EAST_M","https://tf.tfrrs.org/teams/tf/CT_college_m_Connecticut.html"
"107","BIG_EAST_M","https://tf.tfrrs.org/teams/tf/IL_college_m_DePaul.html"
"108","BIG_EAST_M","https://tf.tfrrs.org/teams/tf/PA_college_m_Villanova.html"
"109","BIG_EAST_M","https://tf.tfrrs.org/teams/tf/WI_college_m_Marquette.html"
"110","BIG_EAST_M","https://tf.tfrrs.org/teams/tf/IN_college_m_Butler.html"
"111","BIG_EAST_M","https://tf.tfrrs.org/teams/tf/OH_college_m_Xavier.html"
"112","BIG_EAST_M","https://tf.tfrrs.org/teams/tf/RI_college_m_Providence.html"
"113","BIG_EAST_M","https://tf.tfrrs.org/teams/tf/NE_college_m_Creighton.html"
"114","Big_12_F","https://tf.tfrrs.org/teams/tf/TX_college_f_Texas_Tech.html"
"115","Big_12_F","https://tf.tfrrs.org/teams/tf/UT_college_f_BYU.html"
"116","Big_12_F","https://tf.tfrrs.org/teams/tf/TX_college_f_TCU.html"
"117","Big_12_F","https://tf.tfrrs.org/teams/tf/TX_college_f_Baylor.html"
"118","Big_12_F","https://tf.tfrrs.org/teams/tf/TX_college_f_Texas.html"
"119","Big_12_F","https://tf.tfrrs.org/teams/tf/FL_college_f_Central_Florida.html"
"120","Big_12_F","https://tf.tfrrs.org/teams/tf/OK_college_f_Oklahoma.html"
"121","Big_12_F","https://tf.tfrrs.org/teams/tf/TX_college_f_Houston.html"
"122","Big_12_F","https://tf.tfrrs.org/teams/tf/KS_college_f_Kansas.html"
"123","Big_12_F","https://tf.tfrrs.org/teams/tf/IA_college_f_Iowa_State.html"
"124","Big_12_F","https://tf.tfrrs.org/teams/tf/OH_college_f_Cincinnati.html"
"125","Big_12_F","https://tf.tfrrs.org/teams/tf/OK_college_f_Oklahoma_State.html"
"126","Big_12_F","https://tf.tfrrs.org/teams/tf/KS_college_f_Kansas_State.html"
"127","Big_12_F","https://tf.tfrrs.org/teams/tf/WV_college_f_West_Virginia.html"
"128","Big_12_M","https://tf.tfrrs.org/teams/tf/TX_college_m_Houston.html"
"129","Big_12_M","https://tf.tfrrs.org/teams/tf/TX_college_m_Texas.html"
"130","Big_12_M","https://tf.tfrrs.org/teams/tf/TX_college_m_Baylor.html"
"131","Big_12_M","https://tf.tfrrs.org/teams/tf/UT_college_m_BYU.html"
"132","Big_12_M","https://tf.tfrrs.org/teams/tf/TX_college_m_Texas_Tech.html"
"133","Big_12_M","https://tf.tfrrs.org/teams/tf/OH_college_m_Cincinnati.html"
"134","Big_12_M","https://tf.tfrrs.org/teams/tf/TX_college_m_TCU.html"
"135","Big_12_M","https://tf.tfrrs.org/teams/tf/KS_college_m_Kansas.html"
"136","Big_12_M","https://tf.tfrrs.org/teams/tf/IA_college_m_Iowa_State.html"
"137","Big_12_M","https://tf.tfrrs.org/teams/tf/OK_college_m_Oklahoma.html"
"138","Big_12_M","https://tf.tfrrs.org/teams/tf/KS_college_m_Kansas_State.html"
"139","Big_12_M","https://tf.tfrrs.org/teams/tf/OK_college_m_Oklahoma_State.html"
"140","Big_Sky_F","https://tf.tfrrs.org/teams/tf/AZ_college_f_Northern_Arizona.html"
"141","Big_Sky_F","https://tf.tfrrs.org/teams/tf/ID_college_f_Idaho.html"
"142","Big_Sky_F","https://tf.tfrrs.org/teams/tf/MT_college_f_Montana_State.html"
"143","Big_Sky_F","https://tf.tfrrs.org/teams/tf/CA_college_f_Sacramento_St.html"
"144","Big_Sky_F","https://tf.tfrrs.org/teams/tf/UT_college_f_Weber_State.html"
"145","Big_Sky_F","https://tf.tfrrs.org/teams/tf/CO_college_f_Northern_Colorado.html"
"146","Big_Sky_F","https://tf.tfrrs.org/teams/tf/ID_college_f_Idaho_State.html"
"147","Big_Sky_F","https://tf.tfrrs.org/teams/tf/MT_college_f_Montana.html"
"148","Big_Sky_F","https://tf.tfrrs.org/teams/tf/OR_college_f_Portland_State.html"
"149","Big_Sky_F","https://tf.tfrrs.org/teams/tf/WA_college_f_Eastern_Washington.html"
"150","Big_Sky_M","https://tf.tfrrs.org/teams/tf/CO_college_m_Northern_Colorado.html"
"151","Big_Sky_M","https://tf.tfrrs.org/teams/tf/AZ_college_m_Northern_Arizona.html"
"152","Big_Sky_M","https://tf.tfrrs.org/teams/tf/MT_college_m_Montana_State.html"
"153","Big_Sky_M","https://tf.tfrrs.org/teams/tf/ID_college_m_Idaho_State.html"
"154","Big_Sky_M","https://tf.tfrrs.org/teams/tf/ID_college_m_Idaho.html"
"155","Big_Sky_M","https://tf.tfrrs.org/teams/tf/OR_college_m_Portland_State.html"
"156","Big_Sky_M","https://tf.tfrrs.org/teams/tf/MT_college_m_Montana.html"
"157","Big_Sky_M","https://tf.tfrrs.org/teams/tf/WA_college_m_Eastern_Washington.html"
"158","Big_Sky_M","https://tf.tfrrs.org/teams/tf/CA_college_m_Sacramento_St.html"
"159","Big_Sky_M","https://tf.tfrrs.org/teams/tf/UT_college_m_Weber_State.html"
"160","Big_South_F","https://tf.tfrrs.org/teams/tf/SC_college_f_Charleston_Southern.html"
